127.0.0.1 - - [10/May/2021:17:24:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/May/2021:17:24:15 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [10/May/2021:17:24:15 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:24:46 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [10/May/2021:17:24:46 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:24:47 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/May/2021:17:25:11 +0900] "GET /Hoping/edit.html HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [10/May/2021:17:26:48 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:17:26:48 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:40:22 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:17:40:22 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:41:37 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:17:41:37 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:41:47 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [10/May/2021:17:44:07 +0900] "GET /Hoping/Veiw.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:17:44:07 +0900] "GET /Hoping/css/css.css HTTP/1.1" 404 776
